Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59140405,Explosive Conflict: Time-Dynamics of Violence,Randall Collins,"Collins, Randall",,"=""1000506584""","=""9781000506587""",0,4.00,Routledge,ebook,306,2022,,,2026/01/03,to-read,to-read (#59),to-read,,,,0,0
269724,The Sociology of Philosophies: A Global Theory of Intellectual Change,Randall Collins,"Collins, Randall",,"=""0674001877""","=""9780674001879""",0,4.13,Belknap,Paperback,1098,2000,1998,,2026/01/03,to-read,to-read (#58),to-read,,,,0,0
879074,Interaction Ritual Chains (Princeton Studies in Cultural Sociology),Randall Collins,"Collins, Randall",,"=""0691123896""","=""9780691123899""",0,4.26,Princeton University Press,Paperback,464,2005,2004,,2026/01/03,to-read,to-read (#57),to-read,,,,0,0
2139233,Violence: A Micro-sociological Theory,Randall Collins,"Collins, Randall",,"=""0691133131""","=""9780691133133""",0,4.09,Princeton University Press,Hardcover,584,2008,2008,,2026/01/02,"currently-reading, non-fiction, sociology","currently-reading (#9), non-fiction (#20), sociology (#1)",currently-reading,,,,1,0
1472906,Placeways: A Theory of the Human Environment,Eugene Victor Walter,"Walter, Eugene Victor",,"=""0807842001""","=""9780807842003""",0,3.78,The University of North Carolina Press,Paperback,272,1988,1988,,2025/12/27,"currently-reading, anthropology, non-fiction","currently-reading (#8), anthropology (#2), non-fiction (#19)",currently-reading,,,,1,0
48710556,"Ballad of the Bullet: Gangs, Drill Music, and the Power of Online Infamy",Forrest Stuart,"Stuart, Forrest",,"=""0691194432""","=""9780691194431""",5,4.36,Princeton University Press,Hardcover,288,2020,2020,2025/12/26,2025/12/21,,,read,,,,1,0
23937,The Soft Machine (The Nova Trilogy #1),William S. Burroughs,"Burroughs, William S.",,"=""0802133290""","=""9780802133298""",4,3.43,Grove Press,Paperback,184,1994,1961,,2024/12/06,,,read,,,,1,0
23931,"Nova Express (The Nova Trilogy, #2)",William S. Burroughs,"Burroughs, William S.",,"=""0802133304""","=""9780802133304""",3,3.67,Grove Press,Paperback,192,1994,1964,,2024/12/06,,,read,,,,1,0
23929479,Soumission,Michel Houellebecq,"Houellebecq, Michel",,"=""2081354802""","=""9782081354807""",4,3.65,Flammarion,Paperback,300,2015,2015,,2024/12/06,,,read,,,,1,0
38376040,"The Border (Power of the Dog, #3)",Don Winslow,"Winslow, Don",,"=""0062664514""","=""9780062664518""",3,4.47,William Morrow,Kindle Edition,768,2019,2019,,2024/12/06,,,read,,,,1,0
